Name	saMskRta-nAma	Lat	Long	Timezone	TZFloat
Amarnath		40.3801706	84.3374927	Asia/Calcutta	5.5
Bengaluru	kalyANapurI	12:58:12	77:33:36	Asia/Calcutta	5.5
Bangalore	kalyANapurI	12:58:12	77:33:36	Asia/Calcutta	5.5
Hyderabad	bhAgyanagaram	17.3615104	78.474743	Asia/Calcutta	5.5
Bhagyanagaram	bhAgyanagaram	17.3615104	78.474743	Asia/Calcutta	5.5
BrahmaDesha	brahma-dEzaH	8.7324832	77.4427299	Asia/Calcutta	5.5
Chennai	madrapurI	13:05:24	80:16:12	Asia/Calcutta	5.5
Coimbatore		10.966657792836907	76.90954363309359	Asia/Calcutta	5.5
Delhi	indra-prasthaH	28.5676528	77.1636295	Asia/Calcutta	5.5
Dwaraka	dvArakApurI	22.2467347	68.9606388	Asia/Calcutta	5.5
Hampi	vijayanagaram	15.3350	76.46	Asia/Calcutta	5.5
Kamakhya	kAmAkhyA	26.1664187	91.7029625	Asia/Calcutta	5.5
Kanchipuram	kAJcI	12.8438285	79.6994636	Asia/Calcutta	5.5
Kanyakumari		8.0805248	77.547384	Asia/Calcutta	5.5
Kashi	kAzI	25.3109634	83.0107418	Asia/Calcutta	5.5
Varanasi	vArANasI	25.3109634	83.0107418	Asia/Calcutta	5.5
Madurai		9.919525	78.1187598	Asia/Calcutta	5.5
Mumbai	mumbApurI	18:57:36	72:49:12	Asia/Calcutta	5.5
Mysore	mahiSapurI	12.2958	76.6394	Asia/Calcutta	5.5
Nerur	nerUr	10.9967	78.156	Asia/Calcutta	5.5
Prayag	prayAgaH	25.4339768	81.8784979	Asia/Calcutta	5.5
Prayagraj	prayAgaH	25.4339768	81.8784979	Asia/Calcutta	5.5
Pune	puNyanagarI	18:31:48	73:50:24	Asia/Calcutta	5.5
Vijayawada	vijayavADA	16.5128023	80.6039116	Asia/Calcutta	5.5
sahakAra nagar, bengaLUru	sahakAra-nagaram, kalyANapurI	13:03:48.9	77:34:45.7	Asia/Calcutta	5.5
Thanjavur	taJjAvUr	10:46:59	79:07:51	Asia/Calcutta	5.5
Tirupati	tirupati	13.646939287359896	79.42132439583985	Asia/Calcutta	5.5
Ujjain	ujjayinI	23.1765	75.7885	Asia/Calcutta	5.5
AbuDhabi		24:28:48	54:22:12	Asia/Dubai	4.0
Athens		37.9908372	23.7383394	Europe/Athens	3.0
Berlin		52:31:12	13:22:48	Europe/Berlin	2.0
Cupertino		37:19:23	-122:01:56	America/Los_Angeles	-7.0
Sacramento		38.5617339	-121.46143	America/Los_Angeles	-7.0
Flemington		40.5084323	-74.8599965	America/New_York	-4.0
NewYork		40.6217543	-74.6111683	America/New_York	-4.0
WashingtonDC		38.8937545	-77.014576	America/New_York	-4.0
Charlotte		35.227085	-80.843124	America/New_York	-4.0
Denver		39.7643389	-104.8551114	America/Denver	-6.0
LosAngeles		34.020479	-118.4117325	America/Los_Angeles	-7.0
Aurora		41.7509724	-88.3067189	America/Chicago	-5.0
Chicago		41.8337329	-87.7319639	America/Chicago	-5.0
Dallas		32.8206645	-96.7315525	America/Chicago	-5.0
Dubai		25:16:12	55:19:48	Asia/Dubai	4.0
Dusseldorf		51:14:24	6:47:24	Europe/Berlin	2.0
Frankfurt		50:07:12	8:40:48	Europe/Berlin	2.0
Heidelberg		49:25:09	8:40:05	Europe/Berlin	2.0
London		51:30	0:07:00	Europe/London	1.0
Leiden		52.1570166	4.4855084	Europe/Amsterdam	2.0
Harrow		51.5767963	-0.30448	Europe/London	1.0
Muscat		23:36:36	58:32:24	Asia/Muscat	4.0
Orinda		37:51:38	-122:10:59	America/Los_Angeles	-7.0
PaloAlto		37:23:59	-122:08:34	America/Los_Angeles	-7.0
Robbinsville		40.222877	-74.6630863	America/New_York	-4.0
Cary		35.7703553	-78.9703931	America/New_York	-4.0
Paris		48:51:36	2:20:24	Europe/Paris	2.0
Prague		50:04:48	14:25:48	Europe/Bratislava	2.0
Tampa		27:58:15	-82:27:53	US/Eastern	-4.0
Zurich		47:22:48	8:32:24	Europe/Zurich	2.0
Abohar		30.12	74.29	Asia/Calcutta	5.5
Abu		24.59	72.71	Asia/Calcutta	5.5
Addanki		15.81	79.97	Asia/Calcutta	5.5
Adilabad		19.67	78.53	Asia/Calcutta	5.5
Adirampattinam		10.3376115	79.3645408	Asia/Calcutta	5.5
Adoni		15.63	77.28	Asia/Calcutta	5.5
Agartala		23.83	91.27	Asia/Calcutta	5.5
Agra		27.18	78.02	Asia/Calcutta	5.5
Ahmadnagar		19.08	74.73	Asia/Calcutta	5.5
Ahmedabad		23.03	72.58	Asia/Calcutta	5.5
Aizawl		23.71	92.72	Asia/Calcutta	5.5
Ajmer		26.47	74.64	Asia/Calcutta	5.5
Akola		20.73	77	Asia/Calcutta	5.5
Aligarh		27.88	78.08	Asia/Calcutta	5.5
Alleppey		9.5	76.37	Asia/Calcutta	5.5
Alwar		27.57	76.62	Asia/Calcutta	5.5
Amalapuram		16.58	82.02	Asia/Calcutta	5.5
Ambala		30.38	76.77	Asia/Calcutta	5.5
Ambasamudram		8.7124228	77.4159983	Asia/Calcutta	5.5
Ambur		12.7821459	78.6854269	Asia/Calcutta	5.5
Amravati		20.93	77.75	Asia/Calcutta	5.5
Amritsar		31.62	74.85	Asia/Calcutta	5.5
Amudalavalasa		18.42	83.9	Asia/Calcutta	5.5
AnaimalaiHills		10.2999993	76.9824904	Asia/Calcutta	5.5
Anakapalle		17.68	83.02	Asia/Calcutta	5.5
Anantapur		14.68	77.6	Asia/Calcutta	5.5
Angamali		10.2	76.39	Asia/Calcutta	5.5
Arakkonam		13.0742446	79.6253007	Asia/Calcutta	5.5
Arani		12.6704234	79.2728161	Asia/Calcutta	5.5
Aranthangi		10.1715907	78.9890234	Asia/Calcutta	5.5
Arcot		12.8994474	79.3013385	Asia/Calcutta	5.5
Armur		18.79	78.29	Asia/Calcutta	5.5
Aruppukkottai		9.5215955	78.0706855	Asia/Calcutta	5.5
Asansol		23.68	86.97	Asia/Calcutta	5.5
Attur		11.5983176	78.5799256	Asia/Calcutta	5.5
Aurangabad_MH		19.88	75.32	Asia/Calcutta	5.5
Aurangabad_BR		24.77	84.38	Asia/Calcutta	5.5
Ayodhya	ayOdhyA	26.7897709	82.1641483	Asia/Calcutta	5.5
